#ppt,"","",""
"",eco2,eco2,eco2
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
2011-05-01T00:00:00Z,100.838,0,0
2011-06-01T00:00:00Z,141.732,0,0
2011-07-01T00:00:00Z,73.914,0,0
2011-08-01T00:00:00Z,25.908,0,0
2011-09-01T00:00:00Z,204.724,0,0
2011-10-01T00:00:00Z,78.74,0,0
2011-11-01T00:00:00Z,264.16,0,0
2011-12-01T00:00:00Z,211.328,0,0
2012-01-01T00:00:00Z,229.362,0,0
2012-02-01T00:00:00Z,95.504,0,0
2012-03-01T00:00:00Z,157.734,0,0
2012-04-01T00:00:00Z,198.12,0,0
2012-05-01T00:00:00Z,160.782,0,0
2012-06-01T00:00:00Z,107.442,0,0
2012-07-01T00:00:00Z,283.972,0,0
2012-08-01T00:00:00Z,111.252,0,0
2012-09-01T00:00:00Z,139.446,0,0
2012-10-01T00:00:00Z,211.836,0,0
2012-11-01T00:00:00Z,25.908,0,0
2012-12-01T00:00:00Z,196.342,0,0
2013-01-01T00:00:00Z,535.94,0,0
2013-02-01T00:00:00Z,182.88,0,0
2013-03-01T00:00:00Z,169.164,0,0
2013-04-01T00:00:00Z,242.062,0,0
2013-05-01T00:00:00Z,141.732,0,0
2013-06-01T00:00:00Z,232.664,0,0
2013-07-01T00:00:00Z,468.376,0,0
2013-08-01T00:00:00Z,104.648,0,0
2013-09-01T00:00:00Z,114.808,0,0
2013-10-01T00:00:00Z,62.992,0,0
2013-11-01T00:00:00Z,182.372,0,0
2013-12-01T00:00:00Z,335.534,0,0
2014-01-01T00:00:00Z,117.856,0,0
2014-02-01T00:00:00Z,149.86,0,0
2014-03-01T00:00:00Z,116.84,0,0
2014-04-01T00:00:00Z,200.66,0,0
2014-05-01T00:00:00Z,95.758,0,0
2014-06-01T00:00:00Z,232.664,0,0
2014-07-01T00:00:00Z,189.738,0,0
2014-08-01T00:00:00Z,107.696,0,0
2014-09-01T00:00:00Z,81.28,0,0
2014-10-01T00:00:00Z,266.192,0,0
2014-11-01T00:00:00Z,127.254,0,0
2014-12-01T00:00:00Z,131.064,0,0
2015-01-01T00:00:00Z,114.3,0,0
2015-02-01T00:00:00Z,165.862,0,0
2015-03-01T00:00:00Z,119.38,0,0
2015-04-01T00:00:00Z,256.032,0,0
2015-05-01T00:00:00Z,94.488,0,0
2015-06-01T00:00:00Z,163.068,0,0
2015-07-01T00:00:00Z,148.59,0,0
2015-08-01T00:00:00Z,161.798,0,0
2015-09-01T00:00:00Z,148.844,0,0
2015-10-01T00:00:00Z,242.57,0,0
2015-11-01T00:00:00Z,295.402,0,0
2015-12-01T00:00:00Z,609.854,0,0
2016-01-01T00:00:00Z,125.984,0,0
2016-02-01T00:00:00Z,273.558,0,0
2016-03-01T00:00:00Z,105.664,0,0
2016-04-01T00:00:00Z,120.65,0,0
2016-05-01T00:00:00Z,80.772,0,0
2016-06-01T00:00:00Z,128.524,0,0
2016-07-01T00:00:00Z,171.45,0,0
2016-08-01T00:00:00Z,144.018,0,0
2016-09-01T00:00:00Z,28.956,0,0
2016-10-01T00:00:00Z,12.446,0,0
2016-11-01T00:00:00Z,123.444,0,0
2016-12-01T00:00:00Z,136.144,0,0
2017-01-01T00:00:00Z,161.544,0,0
2017-02-01T00:00:00Z,106.426,0,0
2017-03-01T00:00:00Z,179.832,0,0
2017-04-01T00:00:00Z,201.422,0,0
2017-05-01T00:00:00Z,262.382,0,0
2017-06-01T00:00:00Z,193.04,0,0
2017-07-01T00:00:00Z,89.154,0,0
2017-08-01T00:00:00Z,152.4,0,0
2017-09-01T00:00:00Z,113.03,0,0
2017-10-01T00:00:00Z,319.786,0,0
2017-11-01T00:00:00Z,64.008,0,0
2017-12-01T00:00:00Z,103.124,0,0
2018-01-01T00:00:00Z,162.052,0,0
2018-02-01T00:00:00Z,333.756,0,0
2018-03-01T00:00:00Z,144.018,0,0
2018-04-01T00:00:00Z,229.87,0,0
2018-05-01T00:00:00Z,488.696,0,0
2018-06-01T00:00:00Z,79.248,0,0
2018-07-01T00:00:00Z,265.43,0,0
2018-08-01T00:00:00Z,262.382,0,0
2018-09-01T00:00:00Z,155.194,0,0
2018-10-01T00:00:00Z,179.324,0,0
2018-11-01T00:00:00Z,251.968,0,0
2018-12-01T00:00:00Z,372.872,0,0
2019-01-01T00:00:00Z,197.866,0,0
2019-02-01T00:00:00Z,373.888,0,0
2019-03-01T00:00:00Z,194.818,0,0
2019-04-01T00:00:00Z,306.324,0,0
2019-05-01T00:00:00Z,156.718,0,0
2019-06-01T00:00:00Z,246.634,0,0
2019-07-01T00:00:00Z,86.36,0,0
2019-08-01T00:00:00Z,71.628,0,0
2019-09-01T00:00:00Z,10.16,0,0
2019-10-01T00:00:00Z,398.526,0,0
2019-11-01T00:00:00Z,93.726,0,0
2019-12-01T00:00:00Z,230.886,0,0
2020-01-01T00:00:00Z,291.338,0,0
2020-02-01T00:00:00Z,393.192,0,0
2020-03-01T00:00:00Z,212.598,0,0
2020-04-01T00:00:00Z,322.834,0,0
2020-05-01T00:00:00Z,246.634,0,0
2020-06-01T00:00:00Z,137.16,0,0
2020-07-01T00:00:00Z,166.37,0,0
2020-08-01T00:00:00Z,258.572,0,0
2020-09-01T00:00:00Z,229.616,0,0
2020-10-01T00:00:00Z,379.476,0,0
2020-11-01T00:00:00Z,171.958,0,0
2020-12-01T00:00:00Z,175.514,0,0
2021-01-01T00:00:00Z,143.256,0,0
2021-02-01T00:00:00Z,189.484,0,0
2021-03-01T00:00:00Z,368.046,0,0
2021-04-01T00:00:00Z,70.612,0,0
2021-05-01T00:00:00Z,138.938,0,0
2021-06-01T00:00:00Z,142.494,0,0
2021-07-01T00:00:00Z,122.174,0,0
2021-08-01T00:00:00Z,417.83,0,0
2021-09-01T00:00:00Z,106.68,0,0
2021-10-01T00:00:00Z,189.992,0,0
2021-11-01T00:00:00Z,43.688,0,0
2021-12-01T00:00:00Z,136.398,0,0
#mintemp,"","",""
"",eco2,eco2,eco2
TIMESTEP,MEAN(C),VARIANCE(C^2),STD_DEV(C)
2000-01-01T00:00:00Z,-3.14516129032258,0,0
2000-02-01T00:00:00Z,-1.10344827586207,0,0
2000-03-01T00:00:00Z,2.00322580645161,0,0
2000-04-01T00:00:00Z,5.42333333333333,0,0
2000-05-01T00:00:00Z,12.2064516129032,0,0
2000-06-01T00:00:00Z,15.1766666666667,0,0
2000-07-01T00:00:00Z,16.958064516129,0,0
2000-08-01T00:00:00Z,16.5064516129032,0,0
2000-09-01T00:00:00Z,13.5866666666667,0,0
2000-10-01T00:00:00Z,6.34193548387097,0,0
2000-11-01T00:00:00Z,1.20333333333333,0,0
2000-12-01T00:00:00Z,-5.54516129032258,0,0
2001-01-01T00:00:00Z,-4.4,0,0
2001-02-01T00:00:00Z,0.507142857142857,0,0
2001-03-01T00:00:00Z,0.232258064516129,0,0
2001-04-01T00:00:00Z,6.60333333333333,0,0
2001-05-01T00:00:00Z,10.1548387096774,0,0
2001-06-01T00:00:00Z,15.17,0,0
2001-07-01T00:00:00Z,16.2096774193548,0,0
2001-08-01T00:00:00Z,16.3322580645161,0,0
2001-09-01T00:00:00Z,10.29,0,0
2001-10-01T00:00:00Z,2.87741935483871,0,0
2001-11-01T00:00:00Z,1.29333333333333,0,0
2001-12-01T00:00:00Z,-0.067741935483871,0,0
2002-01-01T00:00:00Z,-3.13548387096774,0,0
2002-02-01T00:00:00Z,-3.31428571428571,0,0
2002-03-01T00:00:00Z,1.07741935483871,0,0
2002-04-01T00:00:00Z,7.46,0,0
2002-05-01T00:00:00Z,8.60967741935484,0,0
2002-06-01T00:00:00Z,13.3466666666667,0,0
2002-07-01T00:00:00Z,16.158064516129,0,0
2002-08-01T00:00:00Z,14.9161290322581,0,0
2002-09-01T00:00:00Z,14.82,0,0
2002-10-01T00:00:00Z,10.1870967741935,0,0
2002-11-01T00:00:00Z,0.186666666666667,0,0
2002-12-01T00:00:00Z,-2.32258064516129,0,0
2003-01-01T00:00:00Z,-4.54193548387097,0,0
2003-02-01T00:00:00Z,-1.175,0,0
2003-03-01T00:00:00Z,3.6,0,0
2003-04-01T00:00:00Z,5.97,0,0
2003-05-01T00:00:00Z,11.5387096774194,0,0
2003-06-01T00:00:00Z,12.89,0,0
2003-07-01T00:00:00Z,15.2387096774194,0,0
2003-08-01T00:00:00Z,16.4870967741935,0,0
2003-09-01T00:00:00Z,10.8466666666667,0,0
2003-10-01T00:00:00Z,5.26451612903226,0,0
2003-11-01T00:00:00Z,3.38,0,0
2003-12-01T00:00:00Z,-4.34838709677419,0,0
2004-01-01T00:00:00Z,-3.90967741935484,0,0
2004-02-01T00:00:00Z,-1.9,0,0
2004-03-01T00:00:00Z,2.73225806451613,0,0
2004-04-01T00:00:00Z,5.38666666666667,0,0
2004-05-01T00:00:00Z,11.7193548387097,0,0
2004-06-01T00:00:00Z,15.2033333333333,0,0
2004-07-01T00:00:00Z,15.7741935483871,0,0
2004-08-01T00:00:00Z,14.8677419354839,0,0
2004-09-01T00:00:00Z,12.5,0,0
2004-10-01T00:00:00Z,9.18064516129032,0,0
2004-11-01T00:00:00Z,3.76666666666667,0,0
2004-12-01T00:00:00Z,-3.39354838709677,0,0
2005-01-01T00:00:00Z,-1.55806451612903,0,0
2005-02-01T00:00:00Z,-0.535714285714286,0,0
2005-03-01T00:00:00Z,1.12903225806452,0,0
2005-04-01T00:00:00Z,4.88333333333333,0,0
2005-05-01T00:00:00Z,7.89032258064516,0,0
2005-06-01T00:00:00Z,14.71,0,0
2005-07-01T00:00:00Z,17.1612903225806,0,0
2005-08-01T00:00:00Z,16.8451612903226,0,0
2005-09-01T00:00:00Z,12.2266666666667,0,0
2005-10-01T00:00:00Z,7.56451612903226,0,0
2005-11-01T00:00:00Z,1.57,0,0
2005-12-01T00:00:00Z,-3.69032258064516,0,0
2006-01-01T00:00:00Z,-0.0129032258064516,0,0
2006-02-01T00:00:00Z,-2.59285714285714,0,0
2006-03-01T00:00:00Z,1.52903225806452,0,0
2006-04-01T00:00:00Z,6.55666666666667,0,0
2006-05-01T00:00:00Z,8.89032258064516,0,0
2006-06-01T00:00:00Z,12.2266666666667,0,0
2006-07-01T00:00:00Z,15.9483870967742,0,0
2006-08-01T00:00:00Z,17.4064516129032,0,0
2006-09-01T00:00:00Z,12.0566666666667,0,0
2006-10-01T00:00:00Z,4.96129032258064,0,0
2006-11-01T00:00:00Z,1.03,0,0
2006-12-01T00:00:00Z,-1.61290322580645,0,0
2007-01-01T00:00:00Z,-1.76129032258065,0,0
2007-02-01T00:00:00Z,-4.38214285714286,0,0
2007-03-01T00:00:00Z,3.52903225806452,0,0
2007-04-01T00:00:00Z,4.16,0,0
2007-05-01T00:00:00Z,8.40645161290323,0,0
2007-06-01T00:00:00Z,13.952,0,0
2007-07-01T00:00:00Z,15.2741935483871,0,0
