#ppt,"","","","","","","","","","","","","","","","","",""
"",eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2011-09-01T00:00:00Z,99.572503252157,99.5532859254283,99.3004409676296,99.3457371761079,99.0835964536627,99.1050893620694,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01T00:00:00Z,98.4821806715119,98.4629633447831,98.2101183869845,98.2554145954627,97.9932738730175,98.0147667814243,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01T00:00:00Z,98.2058365854904,98.1866192587616,97.933774300963,97.9790705094412,97.716929786996,97.7384226954028,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01T00:00:00Z,99.1596000263506,99.1403826996218,98.8875377418232,98.9328339503014,98.6706932278562,98.692186136263,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01T00:00:00Z,97.3854064779635,97.3661891512347,97.1133441934361,97.1586404019143,96.8964996794691,96.9179925878759,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01T00:00:00Z,96.220779114226,96.2015617874973,95.9487168296986,95.9940130381769,95.7318723157317,95.7533652241384,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01T00:00:00Z,96.7079871231248,96.688769796396,96.4359248385974,96.4812210470756,96.2190803246304,96.2405732330372,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01T00:00:00Z,94.7058365854904,94.6866192587616,94.433774300963,94.4790705094412,94.216929786996,94.2384226954028,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01T00:00:00Z,99.7402451876409,99.7210278609122,99.4681829031135,99.5134791115918,99.2513383891466,99.2728312975533,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01T00:00:00Z,99.5391699188237,99.519952592095,99.2671076342963,99.3124038427746,99.0502631203294,99.0717560287361,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01T00:00:00Z,99.7402451876409,99.7210278609122,99.4681829031135,99.5134791115918,99.2513383891466,99.2728312975533,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01T00:00:00Z,99.7725032521571,99.7532859254283,99.5004409676296,99.5457371761079,99.2835964536627,99.3050893620694,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01T00:00:00Z,99.7725032521571,99.7532859254283,99.5004409676296,99.5457371761079,99.2835964536627,99.3050893620694,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01T00:00:00Z,97.5466968005442,97.5274794738154,97.2746345160167,97.319930724495,97.0577900020498,97.0792829104565,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01T00:00:00Z,97.7725032521571,97.7532859254283,97.5004409676296,97.5457371761079,97.2835964536627,97.3050893620694,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01T00:00:00Z,97.7402451876409,97.7210278609122,97.4681829031135,97.5134791115918,97.2513383891466,97.2728312975533,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01T00:00:00Z,97.3531484134474,97.3339310867186,97.0810861289199,97.1263823373982,96.864241614953,96.8857345233598,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01T00:00:00Z,95.5582175378713,95.5390002111426,95.2861552533439,95.3314514618222,95.069310739377,95.0908036477837,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01T00:00:00Z,91.256374219899,91.2371568931702,90.9843119353716,91.0296081438498,90.7674674214046,90.7889603298114,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01T00:00:00Z,96.7391699188237,96.719952592095,96.4671076342963,96.5124038427746,96.2502631203294,96.2717560287361,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01T00:00:00Z,97.8370193811893,97.8178020544605,97.5649570966619,97.6102533051401,97.348112582695,97.3696054911017,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01T00:00:00Z,99.7725032521571,99.7532859254283,99.5004409676296,99.5457371761079,99.2835964536627,99.3050893620694,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01T00:00:00Z,99.7725032521571,99.7532859254283,99.5004409676296,99.5457371761079,99.2835964536627,99.3050893620694,0,0,0,0,0,0,0,0,0,0,0,0
